OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ActivityLocation/SourceMapScaleNumeric,ActivityLocation/HorizontalAccuracyMeasure/MeasureValue,ActivityLocation/HorizontalAccuracyMeasure/MeasureUnitCode,ActivityLocation/HorizontalCollectionMethodName,ActivityLocation/HorizontalCoordinateReferenceSystemDatumName,AssemblageSampledName,CollectionDuration/MeasureValue,CollectionDuration/MeasureUnitCode,SamplingComponentName,SamplingComponentPlaceInSeriesNumeric,ReachLengthMeasure/MeasureValue,ReachLengthMeasure/MeasureUnitCode,ReachWidthMeasure/MeasureValue,ReachWidthMeasure/MeasureUnitCode,PassCount,NetTypeName,NetSurfaceAreaMeasure/MeasureValue,NetSurfaceAreaMeasure/MeasureUnitCode,NetMeshSizeMeasure/MeasureValue,NetMeshSizeMeasure/MeasureUnitCode,BoatSpeedMeasure/MeasureValue,BoatSpeedMeasure/MeasureUnitCode,CurrentSpeedMeasure/MeasureValue,CurrentSpeedMeasure/MeasureUnitCode,ToxicityTestType,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodQualifierTypeName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,SampleCollectionMethod/SampleCollectionEquipmentCommentText,SamplePreparationMethod/MethodIdentifier,SamplePreparationMethod/MethodIdentifierContext,SamplePreparationMethod/MethodName,SamplePreparationMethod/MethodQualifierTypeName,SamplePreparationMethod/MethodDescriptionText,SampleContainerTypeName,SampleContainerColorName,ChemicalPreservativeUsedName,ThermalPreservativeUsedName,SampleTransportStorageDescription,BinaryObjectFileName,BinaryObjectFileTypeCode,ActivityFileUrl,ActivityMetricUrl,ActivityGroupUrl,ProviderName
USGS-CA,USGS California Water Science Center,nwisca.01.02103190,Sample-Routine,Water,Surface Water,2021-04-25,16:50:00,PDT,,,,,,,,,,,,,,USGS-11176900,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,USGS parameter code 82398,Equal width increment (ewi),,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02206788,Sample-Routine,Water,Surface Water,2022-03-25,08:18:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-373739122093101,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Submersible centrifugal pump,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02401407,Sample-Routine,Water,Surface Water,2024-02-08,12:36:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-373642122120401,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Mulitple samplers used,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02300469,Sample-Routine,Water,Surface Water,2022-12-15,11:52:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-373642122120401,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Mulitple samplers used,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02204015,Sample-Routine,Water,Surface Water,2022-05-25,08:37:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-373739122093101,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Mulitple samplers used,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02203502,Sample-Routine,Water,Surface Water,2022-05-05,10:37:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11174600,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02102154,Sample-Routine,Water,Surface Water,2021-01-28,15:25:00,PST,,,,,,,,,,,,,,USGS-11179000,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,USGS parameter code 82398,Equal width increment (ewi),,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02101864,Sample-Routine,Water,Surface Water,2021-01-29,00:08:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176090,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,USGS parameter code 82398,SuspSed; Pumping - stream sample using a pumping mechanism,,,"Sampler, point, automatic",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02103019,Sample-Routine,Water,Surface Water,2021-04-28,10:21:00,PDT,,,,,,,,,,,,,,USGS-11181040,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,USGS parameter code 82398,"Single vertical, depth integrated",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02200911,Sample-Routine,Water,Surface Water,2021-12-14,16:39:00,PST,,,,,,,,,,,,,,USGS-11179000,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,USGS parameter code 82398,Equal discharge increment (edi),,,"Sampler, US D-74",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02200245,Sample-Routine,Water,Surface Water,2021-10-21,12:12:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11181040,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,USGS parameter code 82398,"Single vertical, depth integrated",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02105036,Sample-Routine,Sediment,Bottom material,2021-02-16,15:17:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176900,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Bed Material -- Scoop Shovel,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02205624,Sample-Routine,Water,Surface Water,2022-09-07,08:58:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-373540122094301,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Mulitple samplers used,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02203433,Sample-Routine,Water,Surface Water,2022-04-21,15:50:00,PDT,,,,,,,,,,,,,,USGS-11176200,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02205048,Sample-Routine,Water,Surface Water,2022-08-17,10:11:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-373401122092201,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Mulitple samplers used,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02200620,Sample-Routine,Water,Surface Water,2021-10-26,00:34:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176090,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,USGS parameter code 82398,SuspSed; Pumping - stream sample using a pumping mechanism,,,"Sampler, point, automatic",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02102161,Sample-Routine,Water,Surface Water,2021-02-22,17:50:00,PST,,,,,,,,,,,,,Observer,USGS-11179000,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,USGS parameter code 82398,Equal width increment (ewi),,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02002830,Sample-Routine,Sediment,Bottom material,2020-05-07,12:36:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11179000,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Other,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02200917,Sample-Routine,Water,Surface Water,2021-12-23,16:00:00,PST,,,,,,,,,,,,,Observer,USGS-11179000,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,USGS parameter code 82398,Equal width increment (ewi),,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02401397,Sample-Routine,Water,Surface Water,2024-02-08,10:27:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-372930122043401,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Mulitple samplers used,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02400106,Sample-Routine,Water,Surface Water,2023-10-16,12:30:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-373642122120401,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Mulitple samplers used,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02202758,Sample-Routine,Water,Surface Water,2022-03-28,14:29:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176145,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,USGS parameter code 82398,Multiple verticals,,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02201644,Sample-Routine,Water,Surface Water,2021-12-24,13:07:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176090,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,USGS parameter code 82398,SuspSed; Pumping - stream sample using a pumping mechanism,,,"Sampler, point, automatic",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02200244,Sample-Routine,Water,Surface Water,2021-10-21,12:11:00,PDT,,,,,,,,,,,,,,USGS-11181040,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,USGS parameter code 82398,"Single vertical, depth integrated",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02104956,Sample-Routine,Water,Surface Water,2021-03-11,13:12:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176145,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02100031,Sample-Routine,Water,Surface Water,2020-10-08,10:30:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11174600,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02203420,Sample-Routine,Water,Surface Water,2022-04-27,16:40:00,PDT,,,,,,,,,,,,,Observer,USGS-11176900,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,USGS parameter code 82398,Equal width increment (ewi),,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02300137,Sample-Routine,Water,Surface Water,2022-10-26,10:11:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-373739122093101,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Mulitple samplers used,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02102153,Sample-Routine,Water,Surface Water,2021-01-28,15:20:00,PST,,,,,,,,,,,,,Observer,USGS-11179000,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,USGS parameter code 82398,Equal width increment (ewi),,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02101842,Sample-Routine,Water,Surface Water,2021-01-28,04:28:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176090,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,USGS parameter code 82398,SuspSed; Pumping - stream sample using a pumping mechanism,,,"Sampler, point, automatic",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02202016,Sample-Routine,Water,Surface Water,2022-02-01,11:39:00,PST,,,,,,,,,,,,,,USGS-11174600,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02100708,Sample-Routine,Water,Surface Water,2020-11-18,15:50:00,PST,,,,,,,,,,,,,Observer,USGS-11176900,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02200707,Sample-Routine,Water,Surface Water,2021-12-17,10:57:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11174600,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02200619,Sample-Routine,Water,Surface Water,2021-10-25,22:34:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176090,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,USGS parameter code 82398,SuspSed; Pumping - stream sample using a pumping mechanism,,,"Sampler, point, automatic",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02105024,Sample-Routine,Sediment,Bottom material,2021-02-10,15:34:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176145,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Bed Material -- Scoop Shovel,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02202409,Sample-Routine,Sediment,Bottom material,2022-03-11,14:54:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176900,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Bed Material -- Scoop Shovel,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02002774,Sample-Routine,Water,Surface Water,2020-03-19,17:20:00,PDT,,,,,,,,,,,,,Observer,USGS-11176900,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02100016,Sample-Routine,Water,Surface Water,2020-10-04,12:40:00,PDT,,,,,,,,,,,,,Observer,USGS-11176900,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02101644,Sample-Routine,Water,Surface Water,2021-02-03,09:45:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374027122130401,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Van Dorn sampler,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02202921,Sample-Routine,Water,Surface Water,2022-03-28,10:10:00,PDT,,,,,,,,,,,,,Observer,USGS-11179000,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02201258,Sample-Routine,Water,Surface Water,2021-12-27,13:40:00,PST,,,,,,,,,,,,,,USGS-11179000,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,USGS parameter code 82398,Equal width increment (ewi),,,"Sampler, US D-74",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02101609,Sample-Routine,Water,Surface Water,2021-01-27,14:25:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176900,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,USGS parameter code 82398,Equal discharge increment (edi),,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02201229,Sample-Routine,Water,Surface Water,2021-12-25,16:10:00,PST,,,,,,,,,,,,,Observer,USGS-11176900,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,USGS parameter code 82398,Equal width increment (ewi),,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02002786,Sample-Routine,Sediment,Bottom material,2020-05-07,16:51:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176900,13.4 g organic material and glass and plastic fragments removed prior to analysis.,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Bed Material -- Scoop Shovel,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02100491,Sample-Routine,Sediment,Bottom material,2020-11-13,10:44:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176200,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Bed Material -- Scoop Shovel,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02002505,Sample-Routine,Water,Surface Water,2020-04-07,13:55:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176090,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02101232,Sample-Routine,Water,Surface Water,2020-12-12,14:40:00,PST,,,,,,,,,,,,,Observer,USGS-11179000,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,USGS parameter code 82398,Equal width increment (ewi),,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02101021,Sample-Routine,Water,Surface Water,2021-01-05,11:48:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11174600,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,USGS parameter code 82398,Equal width increment (ewi),,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02100044,Sample-Routine,Water,Surface Water,2020-10-01,10:24:00,PDT,,,,,,,,,,,,,,USGS-11181040,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,USGS parameter code 82398,Multiple verticals,,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02200712,Sample-Routine,Water,Surface Water,2021-12-25,12:00:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11174600,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,USGS parameter code 82398,SuspSed; Pumping - stream sample using a pumping mechanism,,,"Sampler, point, automatic",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02101215,Sample-Routine,Water,Surface Water,2020-12-06,16:30:00,PST,,,,,,,,,,,,,Observer,USGS-11176900,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02105025,Sample-Routine,Sediment,Bottom material,2021-02-10,15:36:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176145,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Bed Material -- Scoop Shovel,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02200455,Sample-Routine,Water,Surface Water,2021-11-01,17:55:00,PDT,,,,,,,,,,,,,,USGS-11176900,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,USGS parameter code 82398,Equal width increment (ewi),,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02002827,Sample-Routine,Sediment,Bottom material,2020-05-07,12:33:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11179000,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Other,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02200102,Sample-Routine,Water,Surface Water,2021-10-13,10:06:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176145,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02202772,Sample-Routine,Water,Surface Water,2022-03-28,13:09:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176200,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02205630,Sample-Routine,Water,Surface Water,2022-09-07,12:10:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374027122130401,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Mulitple samplers used,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02102069,Sample-Routine,Water,Surface Water,2021-01-28,17:03:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176090,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02102169,Sample-Routine,Water,Surface Water,2021-03-18,17:05:00,PDT,,,,,,,,,,,,,,USGS-11179000,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,USGS parameter code 82398,Equal width increment (ewi),,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02202421,Sample-Routine,Water,Surface Water,2022-03-04,15:40:00,PST,,,,,,,,,,,,,Observer,USGS-11179000,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02103066,Sample-Routine,Water,Surface Water,2021-04-29,11:45:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-373642122120401,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Submersible centrifugal pump,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02204012,Sample-Routine,Water,Surface Water,2022-05-25,07:49:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-373847122095001,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Mulitple samplers used,,,,,,,,,,,,,,,,,NWIS
